,Unnamed: 0,Frequency,S1_Real[RE],S1_Imaginary[Im],Lambda,Magnitude,Phase(Deg),Phase(Rad)
500,500,30.0,0.61840885877609,-0.60559719800949,7.0,0.86555039301573,-44.40030747312975,-0.77493155430396
1501,1501,30.0,0.61180913448334,-0.60764282941818,7.0201005025126,0.86228778559167,-44.80424750243212,-0.78198163779589
2502,2502,30.0,0.60510039329529,-0.60962116718292,7.0402010050251,0.85894380109736,-45.21323410767965,-0.78911980065401
3503,3503,30.0,0.59828293323517,-0.61152851581573,7.0603015075377,0.85551714994865,-45.62727597622227,-0.79634619450119
4504,4504,30.0,0.5913559794426,-0.61336117982864,7.0804020100503,0.85200576954813,-46.04644057629894,-0.80366199688033
5505,5505,30.0,0.5843181014061,-0.61511582136154,7.1005025125628,0.84840740055713,-46.47085362097948,-0.81106940189842
6506,6506,30.0,0.57717007398605,-0.61678779125214,7.1206030150754,0.84472035239052,-46.90048201838778,-0.81856783199326
7507,7507,30.0,0.56991082429886,-0.61837381124496,7.1407035175879,0.84094263662073,-47.33545610735138,-0.82615956200654
8508,8508,30.0,0.56254088878632,-0.61986923217773,7.1608040201005,0.83707234846046,-47.77577288768281,-0.8338445395751
9509,9509,30.0,0.55505847930908,-0.62127047777176,7.1809045226131,0.83310678907548,-48.22160671534238,-0.84162580778453
10510,10510,30.0,0.54741990566254,-0.62258720397949,7.2010050251256,0.82902556032645,-48.67592490212254,-0.84955515599554
11511,11511,30.0,0.53971427679062,-0.6237855553627,7.2211055276382,0.8248635763875,-49.13285179424598,-0.857530034704
12512,12512,30.0,0.53189778327942,-0.62487596273422,7.2412060301508,0.82060052440915,-49.59539242541227,-0.8656028916421
13513,13513,30.0,0.52396959066391,-0.62585407495499,7.2613065326633,0.81623370126347,-50.06368481974311,-0.87377613578522
14514,14514,30.0,0.51593160629272,-0.62671482563019,7.2814070351759,0.81176159987798,-50.53770069718514,-0.88204927355331
15515,15515,30.0,0.50773537158966,-0.62746500968933,7.3015075376884,0.80716017366302,-51.02072969846185,-0.89047972000821
16516,16516,30.0,0.49947875738144,-0.6280757188797,7.321608040201,0.80247002294264,-51.50643865959283,-0.89895694058639
17517,17517,30.0,0.49111461639404,-0.62855422496796,7.3417085427136,0.79766783823904,-51.99806222946266,-0.90753739056103
18518,18518,30.0,0.48264363408089,-0.62889522314072,7.3618090452261,0.79275095661123,-52.4956790952247,-0.91622244328203
19519,19519,30.0,0.47094634175301,-0.62915992736816,7.3819095477387,0.78589609428757,-53.18397065183281,-0.92823539715852
20520,20520,30.0,0.46224546432495,-0.62915259599686,7.4020100502513,0.78070728082847,-53.69485797853493,-0.93715206311618
21521,21521,30.0,0.45344507694244,-0.62899023294449,7.4221105527638,0.77539741484151,-54.21180563353259,-0.94617450175635
22522,22522,30.0,0.44448700547218,-0.6286746263504,7.4422110552764,0.76993537641184,-54.73883585825849,-0.95537291443535
23523,23523,30.0,0.43549191951752,-0.62818515300751,7.4623115577889,0.76437543028549,-55.26820731302296,-0.96461218928706
24524,24524,30.0,0.42634412646294,-0.62752914428711,7.4824120603015,0.7586581187196,-55.80776040566644,-0.97402916724301
25525,25525,30.0,0.41716694831848,-0.62668973207474,7.5025125628141,0.75284014442461,-56.34958647169951,-0.98348581606841
26526,26526,30.0,0.40784284472466,-0.62567085027695,7.5226130653266,0.7468599593494,-56.9017256260009,-0.99312246224015
27527,27527,30.0,0.39849612116814,-0.62445932626724,7.5427135678392,0.74077568045137,-57.45618613062652,-1.00279962361813
28528,28528,30.0,0.38900846242905,-0.62305444478989,7.5628140703518,0.73452326376627,-58.0211131197087,-1.012659459611
29529,29529,30.0,0.37950831651688,-0.62144815921783,7.5829145728643,0.72816507530965,-58.58826414937433,-1.02255811243474
